search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.32962,0.30306,0.15277,0.1954,0.18473,0.28445,0.26667,0.05434
bm25,0.39798,0.3865,0.18895,0.2516,0.23708,0.39518,0.32907,0.07358
vector,0.41034,0.39506,0.18643,0.24633,0.23701,0.39436,0.33609,0.07556
hybrid,0.44693,0.44124,0.2069,0.28066,0.26597,0.46283,0.37268,0.08702
