search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.2923,0.26721,0.13764,0.17289,0.16749,0.25049,0.23083,0.04504
bm25,0.36138,0.33847,0.17464,0.2198,0.21628,0.33051,0.28997,0.05805
vector,0.39564,0.36272,0.17848,0.22471,0.22855,0.34042,0.31679,0.06519
hybrid,0.42371,0.39314,0.19567,0.24728,0.25149,0.3888,0.34236,0.06932
