search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.33563,0.31895,0.15645,0.20861,0.19223,0.30972,0.27419,0.0603
bm25,0.39888,0.39368,0.18756,0.25656,0.23534,0.4083,0.33058,0.07752
vector,0.41112,0.40546,0.18448,0.25186,0.23211,0.41229,0.34286,0.08165
hybrid,0.44817,0.45098,0.20694,0.28898,0.26686,0.48617,0.37619,0.0898
