search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.34469,0.32124,0.16174,0.2092,0.19977,0.3084,0.28095,0.05779
bm25,0.40188,0.39442,0.18494,0.25446,0.23669,0.41083,0.33759,0.07807
vector,0.41213,0.40165,0.184,0.2492,0.23576,0.40549,0.34637,0.07885
hybrid,0.4474,0.4479,0.20383,0.28482,0.26537,0.48144,0.38195,0.09035
