search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.14313,0.12937,0.06448,0.08294,0.07906,0.12577,0.12406,0.02439
bm25,0.19198,0.18065,0.08398,0.1142,0.10715,0.1805,0.17143,0.03797
vector,0.22121,0.21204,0.10162,0.13294,0.12825,0.20764,0.18346,0.04301
hybrid,0.23004,0.21772,0.09684,0.13329,0.1263,0.22162,0.20075,0.04589
