search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.34261,0.31778,0.16016,0.20636,0.19729,0.30499,0.2792,0.05682
bm25,0.40017,0.39432,0.18458,0.25426,0.23715,0.41327,0.33885,0.07922
vector,0.41155,0.3979,0.18348,0.24601,0.23645,0.39518,0.3411,0.07907
hybrid,0.43983,0.44351,0.20115,0.28045,0.26378,0.47772,0.37093,0.09073
