search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.33854,0.31762,0.15859,0.20641,0.19869,0.30505,0.27669,0.05714
bm25,0.39836,0.38864,0.18408,0.24973,0.2341,0.40198,0.33459,0.07622
vector,0.41691,0.40368,0.18649,0.24919,0.24144,0.40478,0.35138,0.07779
hybrid,0.44899,0.44762,0.20735,0.28401,0.26694,0.47455,0.37544,0.0898
