search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.34296,0.32023,0.16051,0.20677,0.19775,0.30796,0.2782,0.05722
bm25,0.40186,0.39545,0.18716,0.25625,0.23954,0.41358,0.33885,0.07837
vector,0.40615,0.40235,0.18098,0.24726,0.23274,0.41071,0.33985,0.07965
hybrid,0.44796,0.4473,0.20395,0.28311,0.26461,0.47852,0.3787,0.08955
