search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.34317,0.32004,0.15976,0.20559,0.19929,0.30623,0.27669,0.05659
bm25,0.40032,0.39038,0.18461,0.25204,0.23652,0.40278,0.33734,0.07617
vector,0.41433,0.40196,0.18564,0.25001,0.24086,0.40467,0.34962,0.0786
hybrid,0.4499,0.44952,0.20706,0.28753,0.2681,0.47836,0.37895,0.08987
