search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.29864,0.27468,0.13126,0.17158,0.16866,0.26103,0.24837,0.05143
bm25,0.35418,0.33915,0.15749,0.21261,0.20112,0.34343,0.29774,0.06689
vector,0.38428,0.36567,0.16748,0.223,0.21549,0.35993,0.32231,0.07226
hybrid,0.40874,0.39962,0.18192,0.24891,0.23801,0.41497,0.33985,0.07962
