search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.34552,0.32325,0.16146,0.20826,0.20136,0.31007,0.27794,0.05712
bm25,0.40167,0.39313,0.18587,0.25492,0.23749,0.40702,0.33935,0.07712
vector,0.41788,0.40594,0.18706,0.25233,0.24024,0.40807,0.35363,0.07947
hybrid,0.45133,0.45045,0.20731,0.28789,0.26854,0.47887,0.38095,0.08995
