search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.32974,0.30586,0.15236,0.19585,0.18747,0.29002,0.26667,0.05474
bm25,0.38549,0.37761,0.17747,0.2413,0.22426,0.38982,0.31805,0.07416
vector,0.38913,0.37725,0.17044,0.23123,0.21758,0.37195,0.32481,0.07642
hybrid,0.41936,0.41718,0.19073,0.26179,0.25086,0.44639,0.34787,0.08456
