search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.30809,0.2874,0.14475,0.18732,0.17469,0.27434,0.24612,0.05073
bm25,0.37422,0.35642,0.17984,0.23149,0.22515,0.35394,0.30526,0.06391
vector,0.39805,0.37647,0.18073,0.23559,0.22869,0.3634,0.32231,0.07083
hybrid,0.43423,0.41525,0.20283,0.26584,0.25854,0.42093,0.35614,0.07724
