search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.34862,0.32492,0.16281,0.20832,0.20088,0.3137,0.2815,0.058
bm25,0.41226,0.40917,0.1902,0.26268,0.24243,0.43461,0.34775,0.08382
vector,0.40821,0.41136,0.1806,0.24969,0.23139,0.42564,0.33875,0.08623
hybrid,0.44707,0.46341,0.20492,0.2914,0.26872,0.5155,0.376,0.09887
