search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.35084,0.33164,0.16223,0.21213,0.19811,0.32179,0.28195,0.06015
bm25,0.41354,0.41256,0.19056,0.26506,0.24453,0.43714,0.34687,0.08331
vector,0.41144,0.41945,0.18318,0.25578,0.23266,0.43643,0.34311,0.08847
hybrid,0.44608,0.46526,0.20524,0.29478,0.26343,0.512,0.37318,0.09935
