search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.34943,0.33009,0.16023,0.2089,0.19758,0.31995,0.28045,0.06063
bm25,0.41092,0.41002,0.19069,0.26419,0.24323,0.43433,0.34561,0.08373
vector,0.40828,0.4156,0.18203,0.25301,0.23389,0.43322,0.3381,0.08689
hybrid,0.44345,0.46259,0.20303,0.29091,0.26133,0.51009,0.37168,0.09895
