search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.31864,0.29727,0.14671,0.19128,0.17898,0.28233,0.25739,0.05346
bm25,0.38555,0.37186,0.18178,0.2416,0.22794,0.37511,0.3183,0.06882
vector,0.41019,0.39074,0.18232,0.24213,0.22838,0.38382,0.33183,0.07409
hybrid,0.4293,0.41518,0.19662,0.26442,0.25205,0.42755,0.35363,0.07815
