search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.33983,0.31559,0.159,0.20284,0.19639,0.30329,0.27519,0.05519
bm25,0.40243,0.39423,0.18863,0.25651,0.23894,0.40856,0.33358,0.07717
vector,0.40429,0.39721,0.1803,0.2437,0.23518,0.40342,0.33609,0.07794
hybrid,0.44035,0.44301,0.20367,0.28312,0.26141,0.47139,0.36817,0.08905
