search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.3394,0.31779,0.15897,0.2062,0.19912,0.30461,0.27694,0.05687
bm25,0.40412,0.39287,0.1874,0.25331,0.23701,0.40375,0.3406,0.07684
vector,0.41958,0.4059,0.18704,0.25001,0.24177,0.40676,0.35288,0.07852
hybrid,0.44786,0.44881,0.20571,0.28449,0.26489,0.47546,0.37569,0.09063
