search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.31033,0.28645,0.14392,0.1834,0.17404,0.27145,0.25038,0.05108
bm25,0.37877,0.36148,0.17815,0.2332,0.22428,0.36142,0.31228,0.06622
vector,0.40417,0.38188,0.18422,0.23651,0.23438,0.37194,0.32707,0.0697
hybrid,0.44083,0.42486,0.20679,0.27268,0.25994,0.43272,0.36366,0.0798
