search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.30731,0.28604,0.13754,0.18124,0.17484,0.27436,0.25439,0.05386
bm25,0.37197,0.36105,0.16988,0.22995,0.214,0.36904,0.30952,0.07201
vector,0.39529,0.37737,0.17308,0.22884,0.22258,0.36963,0.32481,0.07336
hybrid,0.40974,0.4036,0.18336,0.251,0.23794,0.42393,0.34386,0.08213
