search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.35199,0.33214,0.16358,0.212,0.19946,0.31951,0.28346,0.06033
bm25,0.41125,0.41132,0.19211,0.26625,0.24191,0.43511,0.34461,0.08416
vector,0.41118,0.41736,0.18105,0.25258,0.23117,0.43211,0.3406,0.0882
hybrid,0.44879,0.4678,0.20592,0.29346,0.26829,0.51696,0.37419,0.09897
