search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.12562,0.11004,0.04658,0.06429,0.05724,0.10228,0.1208,0.02504
bm25,0.16267,0.15056,0.06467,0.09194,0.0818,0.15119,0.15338,0.03584
vector,0.20197,0.18763,0.08464,0.11213,0.10949,0.18241,0.17744,0.03912
hybrid,0.19241,0.18529,0.07576,0.11083,0.09894,0.19065,0.1807,0.04353
