search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.3213,0.30228,0.14764,0.19629,0.18118,0.29111,0.26692,0.05817
bm25,0.38909,0.38208,0.1845,0.24981,0.23124,0.39481,0.32155,0.07313
vector,0.40655,0.39439,0.18145,0.24446,0.2288,0.39406,0.33484,0.07742
hybrid,0.44246,0.43695,0.20507,0.2806,0.26225,0.46138,0.36867,0.08514
