search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.35055,0.32528,0.16232,0.20841,0.20133,0.31173,0.28421,0.05782
bm25,0.40649,0.4001,0.18857,0.25827,0.2398,0.41504,0.33935,0.07835
vector,0.40711,0.40382,0.18144,0.24885,0.23366,0.41497,0.34135,0.08083
hybrid,0.44468,0.44865,0.20346,0.28415,0.26215,0.48336,0.37368,0.08997
