search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.12436,0.1088,0.04559,0.06402,0.05685,0.10325,0.12206,0.02602
bm25,0.15238,0.14168,0.05695,0.08212,0.07469,0.14181,0.14461,0.03271
vector,0.1798,0.16849,0.06786,0.09595,0.08947,0.16877,0.16366,0.03784
hybrid,0.19086,0.17812,0.06789,0.09953,0.09021,0.17627,0.18346,0.04441
