search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.31998,0.29742,0.1485,0.19162,0.18094,0.28481,0.26366,0.05444
bm25,0.38811,0.37773,0.18303,0.24546,0.2309,0.38581,0.32231,0.07158
vector,0.40891,0.3964,0.18666,0.24756,0.23627,0.39454,0.33383,0.07564
hybrid,0.44397,0.43843,0.20784,0.28217,0.26321,0.45943,0.36892,0.08561
