search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.3385,0.31657,0.1585,0.20559,0.19448,0.30402,0.27469,0.05744
bm25,0.39679,0.38763,0.18275,0.24908,0.23265,0.40424,0.33409,0.07654
vector,0.41306,0.4007,0.18344,0.24713,0.23664,0.3993,0.34236,0.07917
hybrid,0.44415,0.44297,0.20376,0.28017,0.26773,0.47201,0.37043,0.08927
