search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.33985,0.31665,0.15797,0.20475,0.19265,0.30317,0.27694,0.05792
bm25,0.40585,0.39912,0.19255,0.26018,0.24398,0.41454,0.33784,0.07757
vector,0.41485,0.40713,0.18819,0.25387,0.23992,0.41324,0.3411,0.08008
hybrid,0.44968,0.45209,0.20905,0.28916,0.27088,0.48485,0.37769,0.09115
