search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.3408,0.31841,0.15796,0.20596,0.19574,0.30611,0.28045,0.05812
bm25,0.40026,0.39316,0.18323,0.25254,0.23446,0.41107,0.33985,0.07897
vector,0.41069,0.39853,0.18156,0.24464,0.23554,0.40134,0.34386,0.07777
hybrid,0.44421,0.44426,0.20367,0.28176,0.26222,0.47293,0.37444,0.0899
