search_type,NDCG@10,NDCG@100,MAP@10,MAP@100,Recall@10,Recall@100,P@10,P@100
boolean,0.33852,0.3172,0.1587,0.20628,0.19482,0.30515,0.27368,0.05759
bm25,0.39708,0.3887,0.18279,0.24972,0.2328,0.40511,0.33308,0.07662
vector,0.41183,0.40042,0.18377,0.24703,0.23584,0.39815,0.3401,0.07912
hybrid,0.4448,0.44281,0.2052,0.28093,0.26925,0.4722,0.37143,0.08925
